CharacterID,CharacterName,Description
34,Mikaela Paoli,Mikaela Paoli is a quiet scout who researches forbidden magic.
35,Dixie Leonida,Dixie Leonida is a ruthless mage who researches forbidden magic.
36,Preston Woolcocks,Preston Woolcocks is a enigmatic captain who hides a dangerous secret.
37,Bond Sonnenschein,Bond Sonnenschein is a stubborn scout who is haunted by old memories.
38,Mariquilla Deverson,Mariquilla Deverson is a cunning strategist who seeks redemption for past mistakes.
39,Catharine Dally,Catharine Dally is a loyal inventor who is haunted by old memories.
40,Maitilde Lange,Maitilde Lange is a pragmatic mage who fights against corruption in the kingdom.
41,Sanson Charpling,Sanson Charpling is a fearless warrior who fights against corruption in the kingdom.
42,Phaidra Dowsett,Phaidra Dowsett is a quiet scholar who protects a forgotten city.
43,Reiko Como,Reiko Como is a loyal mage who owes a debt to a powerful clan.
44,Tristam Kearton,Tristam Kearton is a cunning scholar who guards an ancient artifact.
45,Brennan Duham,Brennan Duham is a ruthless assassin who leads a rebel group in the shadows.
46,Mikaela Dedam,Mikaela Dedam is a charismatic agent who owes a debt to a powerful clan.
47,Nyssa Blake,Nyssa Blake is a fearless captain who hunts ancient relics.
48,Pearla Mugridge,Pearla Mugridge is a quiet guardian who protects a forgotten city.
49,Connor McNickle,Connor McNickle is a ruthless spy who seeks redemption for past mistakes.
50,Angele Gleder,Angele Gleder is a loyal mage who is chased by powerful enemies.
51,Odette Van de Vlies,Odette Van de Vlies is a loyal mage who is haunted by old memories.
52,Audra Gillease,Audra Gillease is a fearless alchemist who leads a rebel group in the shadows.
53,Tanner Kleinerman,Tanner Kleinerman is a idealistic scout who searches for a lost sibling.
54,Eleanore Dally,Eleanore Dally is a ruthless hunter who searches for a lost sibling.
55,Sally Dumblton,Sally Dumblton is a charismatic commander who is haunted by old memories.
56,Fitz Treadger,Fitz Treadger is a ruthless assassin who protects a forgotten city.
57,Ardella Kither,Ardella Kither is a reckless guardian who hunts ancient relics.
58,Fitz Goulthorp,Fitz Goulthorp is a ruthless hunter who researches forbidden magic.
59,Adelind Twinning,Adelind Twinning is a stubborn commander who is haunted by old memories.
60,Teriann Wakely,Teriann Wakely is a cold-blooded inventor who is haunted by old memories.
61,Jamima Diemer,Jamima Diemer is a wise agent who works as a double agent.
62,Bucky Nise,Bucky Nise is a mysterious captain who fights against corruption in the kingdom.
63,Georgine McBrearty,Georgine McBrearty is a quiet guardian who protects a forgotten city.
64,Minetta Drugan,Minetta Drugan is a idealistic strategist who fights against corruption in the kingdom.
65,Inessa Wigg,Inessa Wigg is a loyal captain who hides a dangerous secret.
66,Selle Nise,Selle Nise is a fearless ranger who researches forbidden magic.
67,Erskine Delahunt,Erskine Delahunt is a enigmatic ranger who searches for a lost sibling.
68,Sergio Djordjevic,Sergio Djordjevic is a loyal healer who owes a debt to a powerful clan.
69,Kienan Wigg,Kienan Wigg is a stubborn guardian who keeps breaking the rules.
70,Shandee Dowsett,Shandee Dowsett is a wise healer who is chased by powerful enemies.
71,Reiko Nise,Reiko Nise is a cold-blooded guardian who tries to keep the team together.
72,Adria Kearton,Adria Kearton is a pragmatic mage who fights against corruption in the kingdom.
73,Guillaume Leonida,Guillaume Leonida is a idealistic scholar who searches for a lost sibling.
74,Friederike Pechan,Friederike Pechan is a loyal inventor who hunts ancient relics.
75,Domini Brunelleschi,Domini Brunelleschi is a reckless warrior who protects a forgotten city.
76,Jasmine McBrearty,Jasmine McBrearty is a stubborn healer who hides a dangerous secret.
77,Erskine Kidby,Erskine Kidby is a loyal agent who tries to keep the team together.
78,Merrily Sidery,Merrily Sidery is a enigmatic captain who leads a rebel group in the shadows.
79,Phaidra Spykings,Phaidra Spykings is a charismatic strategist who is chased by powerful enemies.
80,Hadrian Leonida,Hadrian Leonida is a wise commander who tries to keep the team together.
81,Bard Flaxon,Bard Flaxon is a ruthless alchemist who is chased by powerful enemies.
82,Liam Lowrie,Liam Lowrie is a brilliant guardian who fights against corruption in the kingdom.
83,Bucky Drugan,Bucky Drugan is a mysterious scholar who is chased by powerful enemies.
84,Pearla Kubczak,Pearla Kubczak is a wise ranger who protects a forgotten city.
85,Mari Dowsett,Mari Dowsett is a idealistic warrior who protects a forgotten city.
86,Luisa Turfin,Luisa Turfin is a reckless warrior who searches for a lost sibling.
87,Liam Bosdet,Liam Bosdet is a reckless warrior who tries to keep the team together.
88,Maitilde Nunson,Maitilde Nunson is a enigmatic captain who is chased by powerful enemies.
89,Audra Keelan,Audra Keelan is a mysterious commander who protects a forgotten city.
90,Carolina Lemery,Carolina Lemery is a loyal hunter who fights against corruption in the kingdom.
91,Helga Dally,Helga Dally is a charismatic healer who keeps breaking the rules.
92,Raymund Dowsett,Raymund Dowsett is a mysterious hunter who works as a double agent.
93,Sergio Blake,Sergio Blake is a pragmatic spy who protects a forgotten city.
94,Cherianne Jewers,Cherianne Jewers is a brilliant guardian who protects a forgotten city.
95,Selle Quesne,Selle Quesne is a reckless ranger who hides a dangerous secret.
96,Elmer Drugan,Elmer Drugan is a quiet inventor who searches for a lost sibling.
97,Agatha Twinning,Agatha Twinning is a mysterious healer who searches for a lost sibling.
98,Deb Duham,Deb Duham is a wise warrior who searches for a lost sibling.
99,Averil Maryin,Averil Maryin is a cunning alchemist who protects a forgotten city.
100,Raymund Nelhams,Raymund Nelhams is a mysterious ranger who keeps breaking the rules.
101,Kienan Ritchley,Kienan Ritchley is a quiet scholar who guards an ancient artifact.
102,Chilton Goulthorp,Chilton Goulthorp is a reckless inventor who protects a forgotten city.
103,Minetta Sheilds,Minetta Sheilds is a mysterious alchemist who keeps breaking the rules.
104,Clementius Tippin,Clementius Tippin is a loyal assassin who seeks redemption for past mistakes.
105,Bucky Sheilds,Bucky Sheilds is a pragmatic captain who researches forbidden magic.
106,Louisette Greatorex,Louisette Greatorex is a fearless warrior who tries to keep the team together.
107,Harwilll Drugan,Harwilll Drugan is a stubborn spy who tries to keep the team together.
108,Kay Creelman,Kay Creelman is a cunning spy who protects a forgotten city.
109,Nathalia Dummett,Nathalia Dummett is a pragmatic mage who seeks redemption for past mistakes.
110,Merrily Kilgrove,Merrily Kilgrove is a enigmatic inventor who works as a double agent.
111,Clementius Harcourt,Clementius Harcourt is a loyal alchemist who owes a debt to a powerful clan.
112,Johannes Mugridge,Johannes Mugridge is a fearless inventor who fights against corruption in the kingdom.
113,Gus Revitt,Gus Revitt is a stubborn inventor who is haunted by old memories.
114,Nathalia Doni,Nathalia Doni is a enigmatic scholar who tries to keep the team together.
115,Dasya Eagle,Dasya Eagle is a pragmatic warrior who protects a forgotten city.
116,Johannes Kilgrove,Johannes Kilgrove is a ruthless spy who keeps breaking the rules.
117,Bard Wigg,Bard Wigg is a brilliant alchemist who is haunted by old memories.
118,Kim Pechan,Kim Pechan is a reckless mage who leads a rebel group in the shadows.
119,Randal Sabie,Randal Sabie is a idealistic scout who leads a rebel group in the shadows.
120,Norrie Blythe,Norrie Blythe is a stubborn strategist who tries to keep the team together.
121,Bill Renzini,Bill Renzini is a cold-blooded commander who fights against corruption in the kingdom.
122,Darcie Strutz,Darcie Strutz is a enigmatic hunter who hunts ancient relics.
123,Chrissy Paoli,Chrissy Paoli is a cold-blooded assassin who keeps breaking the rules.
124,Kristina Shippam,Kristina Shippam is a charismatic hunter who hides a dangerous secret.
125,Pearla Blake,Pearla Blake is a cold-blooded captain who tries to keep the team together.
126,Guillaume Lanney,Guillaume Lanney is a brilliant hunter who works as a double agent.
127,Alon Bosdet,Alon Bosdet is a stubborn assassin who fights against corruption in the kingdom.
128,Pearla Turfin,Pearla Turfin is a pragmatic alchemist who hunts ancient relics.
129,Johannes Lange,Johannes Lange is a cold-blooded spy who researches forbidden magic.
130,Merrie Van de Vlies,Merrie Van de Vlies is a idealistic scout who works as a double agent.
131,Kim Bosdet,Kim Bosdet is a cold-blooded assassin who searches for a lost sibling.
132,Terra Gaymer,Terra Gaymer is a pragmatic hunter who tries to keep the team together.
133,Allissa Sheilds,Allissa Sheilds is a brilliant strategist who hunts ancient relics.
134,Micaela Deverson,Micaela Deverson is a wise commander who protects a forgotten city.
135,Kalila Hort,Kalila Hort is a ruthless agent who searches for a lost sibling.
136,Adelind Lowrie,Adelind Lowrie is a idealistic assassin who leads a rebel group in the shadows.
137,Amalle Allaker,Amalle Allaker is a stubborn commander who owes a debt to a powerful clan.
138,Cos Blakeney,Cos Blakeney is a stubborn assassin who owes a debt to a powerful clan.
139,Larissa Leonida,Larissa Leonida is a stubborn healer who keeps breaking the rules.
140,Johannes Dedam,Johannes Dedam is a mysterious captain who guards an ancient artifact.
141,Norrie Pregal,Norrie Pregal is a wise spy who seeks redemption for past mistakes.
142,Bard Lemery,Bard Lemery is a ruthless mage who seeks redemption for past mistakes.
143,Kaleb Stranieri,Kaleb Stranieri is a reckless warrior who searches for a lost sibling.
144,Mariquilla Mewis,Mariquilla Mewis is a enigmatic commander who is haunted by old memories.
145,Car Gillease,Car Gillease is a quiet agent who seeks redemption for past mistakes.
146,Gisella Wigg,Gisella Wigg is a enigmatic agent who guards an ancient artifact.
147,Nicky Maryin,Nicky Maryin is a ruthless hunter who searches for a lost sibling.
148,Nicky Flaxon,Nicky Flaxon is a ruthless captain who fights against corruption in the kingdom.
149,Norrie Ollander,Norrie Ollander is a loyal captain who is chased by powerful enemies.
150,Guillaume Dummett,Guillaume Dummett is a enigmatic hunter who researches forbidden magic.
151,Gwendolen Nelhams,Gwendolen Nelhams is a loyal ranger who fights against corruption in the kingdom.
152,Teriann Maryin,Teriann Maryin is a cunning strategist who guards an ancient artifact.
153,Nicky Woolcocks,Nicky Woolcocks is a enigmatic healer who protects a forgotten city.
154,Allissa Gaymer,Allissa Gaymer is a quiet ranger who hides a dangerous secret.
155,Alexina Lange,Alexina Lange is a enigmatic scout who works as a double agent.
156,Neill Sabie,Neill Sabie is a brilliant scholar who researches forbidden magic.
157,Car Kither,Car Kither is a stubborn guardian who is haunted by old memories.
158,Mikaela Nunson,Mikaela Nunson is a stubborn ranger who is haunted by old memories.
159,Norrie Daynter,Norrie Daynter is a fearless warrior who protects a forgotten city.
160,Sally Spykings,Sally Spykings is a mysterious guardian who is haunted by old memories.
161,Bill Gooly,Bill Gooly is a stubborn commander who owes a debt to a powerful clan.
162,Merrily Sherbrook,Merrily Sherbrook is a mysterious scout who works as a double agent.
163,Teriann Currum,Teriann Currum is a mysterious strategist who researches forbidden magic.
164,Starlene Johann,Starlene Johann is a pragmatic hunter who researches forbidden magic.
165,Penrod Downham,Penrod Downham is a enigmatic warrior who is chased by powerful enemies.
166,Gisella Pechan,Gisella Pechan is a cold-blooded guardian who researches forbidden magic.
167,Allin Kleinerman,Allin Kleinerman is a loyal hunter who works as a double agent.
168,Benedict Dally,Benedict Dally is a idealistic spy who is chased by powerful enemies.
169,Gus Lea,Gus Lea is a pragmatic alchemist who is chased by powerful enemies.
170,Gisella Drugan,Gisella Drugan is a pragmatic mage who tries to keep the team together.
171,Mari Quesne,Mari Quesne is a quiet mage who leads a rebel group in the shadows.
172,Roldan Bradnam,Roldan Bradnam is a fearless hunter who works as a double agent.
173,Liam Woolcocks,Liam Woolcocks is a stubborn alchemist who owes a debt to a powerful clan.
174,Mari Pechan,Mari Pechan is a brilliant captain who hunts ancient relics.
175,Piggy Kilgrove,Piggy Kilgrove is a charismatic ranger who keeps breaking the rules.
176,Duncan Maling,Duncan Maling is a pragmatic hunter who tries to keep the team together.
177,Zorian Bosdet,Zorian Bosdet is a charismatic warrior who protects a forgotten city.
178,Guillaume Froom,Guillaume Froom is a brilliant alchemist who searches for a lost sibling.
179,Georgine Poulglais,Georgine Poulglais is a quiet scout who works as a double agent.
180,Merrily Quesne,Merrily Quesne is a mysterious scout who is haunted by old memories.
181,Dasya Stranieri,Dasya Stranieri is a quiet ranger who researches forbidden magic.
182,Astra Dedenham,Astra Dedenham is a loyal agent who is chased by powerful enemies.
183,Pearla Gooly,Pearla Gooly is a fearless alchemist who leads a rebel group in the shadows.
184,Reyna Pechan,Reyna Pechan is a ruthless guardian who owes a debt to a powerful clan.
185,Clementius Dumblton,Clementius Dumblton is a loyal strategist who is chased by powerful enemies.
186,Bucky Sherbrook,Bucky Sherbrook is a mysterious spy who protects a forgotten city.
187,Terra Daynter,Terra Daynter is a idealistic assassin who guards an ancient artifact.
188,Ave Harcourt,Ave Harcourt is a wise warrior who hunts ancient relics.
189,Louisette Ellyatt,Louisette Ellyatt is a mysterious strategist who hunts ancient relics.
190,Roldan Dowsett,Roldan Dowsett is a quiet commander who works as a double agent.
191,Carolina Froggatt,Carolina Froggatt is a brilliant captain who searches for a lost sibling.
192,Gisella Johann,Gisella Johann is a reckless mage who is chased by powerful enemies.
193,Micaela Needs,Micaela Needs is a enigmatic ranger who hunts ancient relics.
194,Nilson Dumblton,Nilson Dumblton is a cunning alchemist who searches for a lost sibling.
195,Adria Elkin,Adria Elkin is a reckless strategist who guards an ancient artifact.
196,Inessa Ciraldo,Inessa Ciraldo is a fearless commander who works as a double agent.
197,Agatha Delahunt,Agatha Delahunt is a charismatic agent who seeks redemption for past mistakes.
198,Sonnie Froom,Sonnie Froom is a stubborn assassin who seeks redemption for past mistakes.
199,Benedict Gaymer,Benedict Gaymer is a quiet healer who tries to keep the team together.
200,Rubin Mugridge,Rubin Mugridge is a fearless scholar who researches forbidden magic.
201,Alvy Getcliff,Alvy Getcliff is a brilliant commander who researches forbidden magic.
202,Piggy McNickle,Piggy McNickle is a reckless mage who hides a dangerous secret.
203,Dennet Turfin,Dennet Turfin is a cold-blooded scholar who guards an ancient artifact.
204,Bucky Greatorex,Bucky Greatorex is a loyal alchemist who keeps breaking the rules.
205,Aurelia Vigne,Aurelia Vigne is a brilliant strategist who keeps breaking the rules.
206,Bruno Ollander,Bruno Ollander is a mysterious ranger who hides a dangerous secret.
207,Alon Greatorex,Alon Greatorex is a cunning assassin who keeps breaking the rules.
208,Nathalia Mugridge,Nathalia Mugridge is a quiet warrior who tries to keep the team together.
209,Rora Tippin,Rora Tippin is a brilliant hunter who keeps breaking the rules.
210,Averil Eagle,Averil Eagle is a fearless spy who keeps breaking the rules.
211,Sergio Gleder,Sergio Gleder is a pragmatic hunter who hunts ancient relics.
212,Nyssa Gaymer,Nyssa Gaymer is a charismatic ranger who tries to keep the team together.
213,Nyssa Djordjevic,Nyssa Djordjevic is a reckless mage who researches forbidden magic.
214,Helga Elkin,Helga Elkin is a mysterious spy who seeks redemption for past mistakes.
215,Neill Blake,Neill Blake is a reckless scout who searches for a lost sibling.
216,Taffy Froggatt,Taffy Froggatt is a quiet hunter who researches forbidden magic.
217,Nyssa Nelhams,Nyssa Nelhams is a wise scholar who searches for a lost sibling.
218,Pearla Treadger,Pearla Treadger is a mysterious assassin who protects a forgotten city.
219,Sonnie Nise,Sonnie Nise is a mysterious commander who is chased by powerful enemies.
220,Alon Brunelleschi,Alon Brunelleschi is a pragmatic commander who is haunted by old memories.
221,Maitilde Djordjevic,Maitilde Djordjevic is a pragmatic strategist who hunts ancient relics.
222,Allissa Downham,Allissa Downham is a ruthless hunter who works as a double agent.
223,Kalila Haill,Kalila Haill is a mysterious alchemist who owes a debt to a powerful clan.
224,Dasya Dally,Dasya Dally is a idealistic commander who researches forbidden magic.
225,Roldan Jewers,Roldan Jewers is a ruthless ranger who protects a forgotten city.
226,Brennan Renzini,Brennan Renzini is a loyal scholar who hides a dangerous secret.
227,Dasya Nunson,Dasya Nunson is a cunning guardian who keeps breaking the rules.
228,Amalle Twinning,Amalle Twinning is a fearless captain who leads a rebel group in the shadows.
229,Kriste Sheilds,Kriste Sheilds is a ruthless mage who owes a debt to a powerful clan.
230,Odette Dummett,Odette Dummett is a mysterious warrior who hunts ancient relics.
231,Benedict Simonds,Benedict Simonds is a idealistic inventor who hunts ancient relics.
232,Reiko Arguile,Reiko Arguile is a reckless warrior who searches for a lost sibling.
233,Shandee Dumblton,Shandee Dumblton is a cold-blooded assassin who searches for a lost sibling.
234,Emlyn Cleator,Emlyn Cleator is a stubborn scholar who tries to keep the team together.
235,Friederike Bramble,Friederike Bramble is a loyal healer who fights against corruption in the kingdom.
236,Averil Nunson,Averil Nunson is a quiet alchemist who tries to keep the team together.
237,Dixie Renzini,Dixie Renzini is a mysterious healer who hides a dangerous secret.
238,Mallorie Shippam,Mallorie Shippam is a ruthless captain who fights against corruption in the kingdom.
239,Mallorie Lea,Mallorie Lea is a cunning scout who fights against corruption in the kingdom.
240,Sergio Pechan,Sergio Pechan is a stubborn assassin who hunts ancient relics.
241,Adelind Revitt,Adelind Revitt is a stubborn assassin who owes a debt to a powerful clan.
242,Larissa Creelman,Larissa Creelman is a quiet scout who hunts ancient relics.
243,Pearla Lemery,Pearla Lemery is a idealistic scout who hides a dangerous secret.
244,Cassian Lowrie,Cassian Lowrie is a pragmatic scholar who owes a debt to a powerful clan.
245,Egan Djordjevic,Egan Djordjevic is a stubborn spy who fights against corruption in the kingdom.
246,Taffy Bradnam,Taffy Bradnam is a loyal hunter who guards an ancient artifact.
247,Bianka Spykings,Bianka Spykings is a charismatic inventor who protects a forgotten city.
248,Elmer Arguile,Elmer Arguile is a fearless spy who guards an ancient artifact.
249,Adelind Kersaw,Adelind Kersaw is a brilliant agent who researches forbidden magic.
250,Heywood Diemer,Heywood Diemer is a loyal warrior who fights against corruption in the kingdom.
251,Kienan Dowsett,Kienan Dowsett is a charismatic hunter who tries to keep the team together.
252,Nicky Makin,Nicky Makin is a enigmatic scholar who searches for a lost sibling.
253,Odette Sabie,Odette Sabie is a quiet assassin who is chased by powerful enemies.
254,Phaidra Strutz,Phaidra Strutz is a pragmatic spy who guards an ancient artifact.
255,Jaclin Currum,Jaclin Currum is a loyal commander who is chased by powerful enemies.
256,Eleanore Shreenan,Eleanore Shreenan is a quiet guardian who owes a debt to a powerful clan.
257,Aurelia Gaymer,Aurelia Gaymer is a charismatic scout who is chased by powerful enemies.
258,Odette Kubczak,Odette Kubczak is a charismatic warrior who seeks redemption for past mistakes.
259,Alisha Treadger,Alisha Treadger is a enigmatic scout who searches for a lost sibling.
260,Friederike Como,Friederike Como is a brilliant assassin who fights against corruption in the kingdom.
261,Taffy Haill,Taffy Haill is a cold-blooded mage who works as a double agent.
262,Selle Maling,Selle Maling is a reckless captain who tries to keep the team together.
263,Kirbie Haill,Kirbie Haill is a reckless agent who guards an ancient artifact.
264,Selle Kearton,Selle Kearton is a wise agent who works as a double agent.
265,Donetta Riccardelli,Donetta Riccardelli is a ruthless alchemist who tries to keep the team together.
266,Astra Kither,Astra Kither is a brilliant captain who guards an ancient artifact.
267,Nat Delahunt,Nat Delahunt is a quiet assassin who leads a rebel group in the shadows.
268,Randal Sheilds,Randal Sheilds is a enigmatic scout who tries to keep the team together.
269,Eadie Duham,Eadie Duham is a ruthless agent who hunts ancient relics.
270,Helga Stranieri,Helga Stranieri is a reckless scout who fights against corruption in the kingdom.
271,Cassian Bradnam,Cassian Bradnam is a wise inventor who works as a double agent.
272,Merrill Gaymer,Merrill Gaymer is a idealistic guardian who hunts ancient relics.
273,Alexina Elkin,Alexina Elkin is a cold-blooded scholar who searches for a lost sibling.
274,Fitz Kilgrove,Fitz Kilgrove is a wise agent who is haunted by old memories.
275,Car Froom,Car Froom is a cold-blooded healer who works as a double agent.
276,Eadie Kersaw,Eadie Kersaw is a stubborn healer who leads a rebel group in the shadows.
277,Luisa Inglefield,Luisa Inglefield is a reckless spy who works as a double agent.
278,Reyna Paoli,Reyna Paoli is a pragmatic spy who fights against corruption in the kingdom.
279,Merrie Inglefield,Merrie Inglefield is a brilliant healer who is chased by powerful enemies.
280,Kally Hort,Kally Hort is a brilliant assassin who owes a debt to a powerful clan.
281,Shandee Daynter,Shandee Daynter is a loyal guardian who fights against corruption in the kingdom.
282,Rora Wakely,Rora Wakely is a enigmatic hunter who hunts ancient relics.
283,Helga Bosdet,Helga Bosdet is a loyal agent who owes a debt to a powerful clan.
284,Clary Lowrie,Clary Lowrie is a idealistic strategist who hunts ancient relics.
285,Bruno Yves,Bruno Yves is a mysterious commander who keeps breaking the rules.
286,Arvy Daynter,Arvy Daynter is a pragmatic guardian who is haunted by old memories.
287,Odette Bosdet,Odette Bosdet is a idealistic healer who owes a debt to a powerful clan.
288,Heywood Dumblton,Heywood Dumblton is a cunning agent who searches for a lost sibling.
289,Clary Gleder,Clary Gleder is a cold-blooded alchemist who is haunted by old memories.
290,Gisella Ellyatt,Gisella Ellyatt is a quiet captain who keeps breaking the rules.
291,Minetta Lowrie,Minetta Lowrie is a wise inventor who is chased by powerful enemies.
292,Chrissy Blythe,Chrissy Blythe is a ruthless strategist who leads a rebel group in the shadows.
293,Norrie Tippin,Norrie Tippin is a reckless assassin who is chased by powerful enemies.
294,Merrill Shreenan,Merrill Shreenan is a reckless scout who seeks redemption for past mistakes.
295,Luisa Blythe,Luisa Blythe is a stubborn captain who hunts ancient relics.
296,Domini Paoli,Domini Paoli is a fearless captain who seeks redemption for past mistakes.
297,Rubin Vigne,Rubin Vigne is a brilliant healer who searches for a lost sibling.
298,Nert Makin,Nert Makin is a wise inventor who tries to keep the team together.
299,Terra Wakely,Terra Wakely is a wise strategist who hunts ancient relics.
300,Dixie Deverson,Dixie Deverson is a ruthless inventor who is chased by powerful enemies.
301,Minetta Greatorex,Minetta Greatorex is a loyal spy who works as a double agent.
302,Pren Strutz,Pren Strutz is a charismatic mage who fights against corruption in the kingdom.
303,Bond Sidery,Bond Sidery is a idealistic alchemist who seeks redemption for past mistakes.
304,Gus Simonds,Gus Simonds is a charismatic alchemist who researches forbidden magic.
305,Jaclin Strutz,Jaclin Strutz is a mysterious agent who hides a dangerous secret.
306,Rora Needs,Rora Needs is a mysterious commander who leads a rebel group in the shadows.
307,Nat Dedenham,Nat Dedenham is a fearless mage who guards an ancient artifact.
308,Hadrian Ritchley,Hadrian Ritchley is a reckless scout who seeks redemption for past mistakes.
309,Selle Leonida,Selle Leonida is a cunning inventor who owes a debt to a powerful clan.
310,Dela Blakeney,Dela Blakeney is a wise ranger who keeps breaking the rules.
311,Mallorie Maryin,Mallorie Maryin is a loyal spy who protects a forgotten city.
312,Caryl Gillease,Caryl Gillease is a fearless mage who seeks redemption for past mistakes.
313,Jeffrey Bosdet,Jeffrey Bosdet is a idealistic agent who keeps breaking the rules.
314,Maitilde Pechan,Maitilde Pechan is a reckless inventor who researches forbidden magic.
315,Micaela Gaymer,Micaela Gaymer is a loyal scholar who is haunted by old memories.
316,Kalila Sheilds,Kalila Sheilds is a wise inventor who hunts ancient relics.
317,Audra McBrearty,Audra McBrearty is a stubborn hunter who is haunted by old memories.
318,Johannes Djordjevic,Johannes Djordjevic is a fearless assassin who hunts ancient relics.
319,Car Charpling,Car Charpling is a brilliant agent who is haunted by old memories.
320,Sergio Vigne,Sergio Vigne is a brilliant commander who guards an ancient artifact.
321,Alon Hort,Alon Hort is a loyal captain who hunts ancient relics.
322,Angele Drugan,Angele Drugan is a cunning warrior who seeks redemption for past mistakes.
323,Connor Ranby,Connor Ranby is a brilliant inventor who tries to keep the team together.
324,Preston Currum,Preston Currum is a mysterious ranger who is haunted by old memories.
325,Helga Jewers,Helga Jewers is a loyal spy who is haunted by old memories.
326,Audra Revitt,Audra Revitt is a idealistic strategist who hides a dangerous secret.
327,Bucky Doni,Bucky Doni is a wise commander who is haunted by old memories.
328,Chrissy Perdue,Chrissy Perdue is a mysterious inventor who protects a forgotten city.
329,Amalle Quesne,Amalle Quesne is a pragmatic scholar who works as a double agent.
330,Chilton Ellyatt,Chilton Ellyatt is a idealistic spy who guards an ancient artifact.
331,Felic Wakely,Felic Wakely is a quiet captain who is haunted by old memories.
332,Donetta Kersaw,Donetta Kersaw is a mysterious scholar who guards an ancient artifact.
333,Brennan Vigne,Brennan Vigne is a charismatic scout who keeps breaking the rules.
334,Kristina Ellyatt,Kristina Ellyatt is a quiet strategist who hides a dangerous secret.
335,Teriann Gatley,Teriann Gatley is a stubborn captain who is chased by powerful enemies.
336,Tristam Lemery,Tristam Lemery is a fearless captain who hunts ancient relics.
337,Alon Eagle,Alon Eagle is a loyal inventor who searches for a lost sibling.
338,Guillaume Gillease,Guillaume Gillease is a charismatic alchemist who owes a debt to a powerful clan.
339,Lisbeth Kubczak,Lisbeth Kubczak is a cold-blooded agent who protects a forgotten city.
340,Kala Sabie,Kala Sabie is a ruthless alchemist who is chased by powerful enemies.
341,Kala Froggatt,Kala Froggatt is a stubborn captain who tries to keep the team together.
342,Averil Inglefield,Averil Inglefield is a cold-blooded healer who hides a dangerous secret.
343,Starlene Blythe,Starlene Blythe is a idealistic scout who guards an ancient artifact.
344,Gisella Fairrie,Gisella Fairrie is a cunning captain who owes a debt to a powerful clan.
345,Taffy Tippin,Taffy Tippin is a loyal captain who is haunted by old memories.
346,Nat Kilgrove,Nat Kilgrove is a cold-blooded agent who researches forbidden magic.
347,Eadie Dowsett,Eadie Dowsett is a loyal inventor who keeps breaking the rules.
348,Luisa Kearton,Luisa Kearton is a wise guardian who is haunted by old memories.
349,Gerhardt Kidby,Gerhardt Kidby is a idealistic captain who searches for a lost sibling.
